Building No,Floor,Unit No,Bedrooms No,Listed Price,Actual Rent,Year,Month,Day,Rented(Y or N)
1,1,102,3,4020,3750,2025,02,01,Y
1,1,102,3,3880,3800,2025,03,01,Y
1,1,102,3,3960,3840,2025,04,01,Y
1,1,102,3,3930,3860,2025,05,01,Y
1,1,102,3,3970,3860,2025,06,01,Y
1,1,102,3,4050,3850,2025,07,01,Y
1,1,102,3,4010,3910,2025,08,01,Y
1,1,102,3,3890,3830,2025,09,01,Y
1,1,102,3,3960,3850,2025,10,01,Y
1,1,102,3,4030,3830,2025,11,01,Y
1,1,102,3,4020,3800,2025,12,01,Y
1,1,102,3,4050,3880,2026,01,01,Y
1,1,102,3,4000,3940,2026,02,01,Y
1,1,102,3,4040,3920,2026,03,01,Y
1,1,102,3,4240,3960,2026,04,01,Y
1,1,102,3,4120,3980,2026,05,01,Y
1,1,102,3,4150,4000,2026,06,01,Y
1,1,102,3,4240,3990,2026,07,01,Y
1,1,102,3,4190,4060,2026,08,01,Y
1,1,102,3,4310,4040,2026,09,01,Y
1,1,102,3,4170,3940,2026,10,01,Y
1,1,102,3,4200,3950,2026,11,01,Y
1,1,102,3,4190,3930,2026,12,01,Y
1,2,201,2,3180,3060,2024,01,01,Y
1,2,201,2,3260,3100,2024,02,01,Y
1,2,201,2,3280,3130,2024,03,01,Y
1,2,201,2,3330,3110,2024,04,01,Y
1,2,201,2,3390,3160,2024,05,01,Y
1,2,201,2,3230,3150,2024,06,01,Y
1,2,201,2,3290,3220,2024,07,01,Y
1,2,201,2,3410,3220,2024,08,01,Y
1,2,201,2,3420,3220,2024,09,01,Y
1,2,201,2,3320,3160,2024,10,01,Y
1,2,201,2,3250,3130,2024,11,01,Y
1,2,201,2,3300,3090,2024,12,01,Y
1,2,201,2,3400,3180,2025,01,01,Y
1,2,201,2,3370,3190,2025,02,01,Y
1,2,201,2,3440,3230,2025,03,01,Y
1,2,201,2,3340,3240,2025,04,01,Y
1,2,201,2,3360,3300,2025,05,01,Y
1,2,201,2,3500,3330,2025,06,01,Y
1,2,201,2,3570,3330,2025,07,01,Y
1,2,201,2,3580,3360,2025,08,01,Y
1,2,201,2,3470,3360,2025,09,01,Y
1,2,201,2,3460,3320,2025,10,01,Y
1,2,201,2,3380,3230,2025,11,01,Y
1,2,201,2,3420,3210,2025,12,01,Y
1,2,201,2,3500,3350,2026,01,01,Y
1,2,201,2,3470,3370,2026,02,01,Y
1,2,201,2,3550,3360,2026,03,01,Y
1,2,201,2,3510,3390,2026,04,01,Y
1,2,201,2,3570,3390,2026,05,01,Y
1,2,201,2,3660,3460,2026,06,01,Y
1,2,201,2,3740,3490,2026,07,01,Y
1,2,201,2,3600,3450,2026,08,01,Y
1,2,201,2,3520,3420,2026,09,01,Y
1,2,201,2,3570,3430,2026,10,01,Y
1,2,201,2,3670,3420,2026,11,01,Y
1,2,201,2,3430,3380,2026,12,01,Y
1,2,202,1,2390,2340,2024,01,01,Y
1,2,202,1,2410,2350,2024,02,01,Y
1,2,202,1,2440,2360,2024,03,01,Y
1,2,202,1,2490,2420,2024,04,01,Y
1,2,202,1,2510,2460,2024,05,01,Y
1,2,202,1,2590,2490,2024,06,01,Y
1,2,202,1,2640,2500,2024,07,01,Y
1,2,202,1,2550,2460,2024,08,01,Y
1,2,202,1,2570,2480,2024,09,01,Y
1,2,202,1,2480,2410,2024,10,01,Y
1,2,202,1,2440,2390,2024,11,01,Y
1,2,202,1,2420,2360,2024,12,01,Y
1,2,202,1,2620,2500,2025,01,01,Y
1,2,202,1,2620,2470,2025,02,01,Y
1,2,202,1,2690,2510,2025,03,01,Y
1,2,202,1,2660,2560,2025,04,01,Y
1,2,202,1,2680,2580,2025,05,01,Y
1,2,202,1,2620,2540,2025,06,01,Y
1,2,202,1,2610,2550,2025,07,01,Y
1,2,202,1,2650,2600,2025,08,01,Y
1,2,202,1,2680,2550,2025,09,01,Y
1,2,202,1,2630,2520,2025,10,01,Y
1,2,202,1,2660,2490,2025,11,01,Y
1,2,202,1,2520,2480,2025,12,01,Y
1,2,202,1,2660,2540,2026,01,01,Y
1,2,202,1,2700,2570,2026,02,01,Y
1,2,202,1,2690,2630,2026,03,01,Y
1,2,202,1,2750,2610,2026,04,01,Y
1,2,202,1,2790,2620,2026,05,01,Y
1,2,202,1,2710,2650,2026,06,01,Y
1,2,202,1,2790,2700,2026,07,01,Y
1,2,202,1,2800,2670,2026,08,01,Y
1,2,202,1,2870,2670,2026,09,01,Y
1,2,202,1,2700,2630,2026,10,01,Y
1,2,202,1,2790,2630,2026,11,01,Y
1,2,202,1,2750,2610,2026,12,01,Y
1,3,301,2,3130,3030,2024,01,01,Y
1,3,301,2,3210,3050,2024,02,01,Y
1,3,301,2,3110,3040,2024,03,01,Y
1,3,301,2,3230,3120,2024,04,01,Y
1,3,301,2,3310,3090,2024,05,01,Y
1,3,301,2,3360,3140,2024,06,01,Y
1,3,301,2,3320,3140,2024,07,01,Y
1,3,301,2,3360,3150,2024,08,01,Y
1,3,301,2,3210,3110,2024,09,01,Y
1,3,301,2,3260,3090,2024,10,01,Y
1,3,301,2,3120,3040,2024,11,01,Y
1,3,301,2,3120,3060,2024,12,01,Y
1,3,301,2,3320,3190,2025,01,01,Y
1,3,301,2,3420,0,2025,02,01,N
1,3,301,2,3420,3200,2025,03,01,Y
1,3,301,2,3440,3240,2025,04,01,Y
1,3,301,2,3480,3250,2025,05,01,Y
1,3,301,2,3330,0,2025,06,01,N
1,3,301,2,3430,3280,2025,07,01,Y
1,3,301,2,3490,3280,2025,08,01,Y
1,3,301,2,3490,3260,2025,09,01,Y
1,3,301,2,3510,3280,2025,10,01,Y
1,3,301,2,3260,3180,2025,11,01,Y
1,3,301,2,3250,3170,2025,12,01,Y
1,3,301,2,3460,3320,2026,01,01,Y
1,3,301,2,3380,3300,2026,02,01,Y
1,3,301,2,3510,0,2026,03,01,N
1,3,301,2,3530,3350,2026,04,01,Y
1,3,301,2,3460,3370,2026,05,01,Y
1,3,301,2,3590,3370,2026,06,01,Y
1,3,301,2,3470,3420,2026,07,01,Y
1,3,301,2,3510,3420,2026,08,01,Y
1,3,301,2,3520,3370,2026,09,01,Y
1,3,301,2,3560,3400,2026,10,01,Y
1,3,301,2,3410,3330,2026,11,01,Y
1,3,301,2,3380,3320,2026,12,01,Y
1,3,302,2,3160,0,2024,01,01,N
1,3,302,2,3100,3010,2024,02,01,Y
1,3,302,2,3170,2990,2024,03,01,Y
1,3,302,2,3250,3030,2024,04,01,Y
1,3,302,2,3290,3090,2024,05,01,Y
1,3,302,2,3230,3120,2024,06,01,Y
1,3,302,2,3170,0,2024,07,01,N
1,3,302,2,3220,3110,2024,08,01,Y
1,3,302,2,3260,3110,2024,09,01,Y
1,3,302,2,3240,3060,2024,10,01,Y
1,3,302,2,3210,3030,2024,11,01,Y
1,3,302,2,3200,2990,2024,12,01,Y
1,3,302,2,3220,3090,2025,01,01,Y
1,3,302,2,3270,3130,2025,02,01,Y
1,3,302,2,3240,3160,2025,03,01,Y
1,3,302,2,3370,3180,2025,04,01,Y
1,3,302,2,3240,3190,2025,05,01,Y
1,3,302,2,3500,3260,2025,06,01,Y
1,3,302,2,3410,3230,2025,07,01,Y
1,3,302,2,3420,3260,2025,08,01,Y
1,3,302,2,3400,3260,2025,09,01,Y
1,3,302,2,3270,0,2025,10,01,N
1,3,302,2,3260,3160,2025,11,01,Y
1,3,302,2,3230,3110,2025,12,01,Y
1,3,302,2,3400,0,2026,01,01,N
1,3,302,2,3330,3250,2026,02,01,Y
1,3,302,2,3350,3290,2026,03,01,Y
1,3,302,2,3390,3310,2026,04,01,Y
1,3,302,2,3560,3340,2026,05,01,Y
1,3,302,2,3410,3350,2026,06,01,Y
1,3,302,2,3520,3360,2026,07,01,Y
1,3,302,2,3460,3350,2026,08,01,Y
1,3,302,2,3480,0,2026,09,01,N
1,3,302,2,3440,3310,2026,10,01,Y
1,3,302,2,3420,3330,2026,11,01,Y
1,3,302,2,3420,3290,2026,12,01,Y
1,4,401,1,2460,2380,2024,01,01,Y
1,4,401,1,2530,2370,2024,02,01,Y
1,4,401,1,2470,2420,2024,03,01,Y
1,4,401,1,2540,2420,2024,04,01,Y
1,4,401,1,2590,2500,2024,05,01,Y
1,4,401,1,2680,2520,2024,06,01,Y
1,4,401,1,2660,2490,2024,07,01,Y
1,4,401,1,2540,2490,2024,08,01,Y
1,4,401,1,2580,2470,2024,09,01,Y
1,4,401,1,2610,2440,2024,10,01,Y
1,4,401,1,2480,2410,2024,11,01,Y
1,4,401,1,2470,0,2024,12,01,N
1,4,401,1,2570,0,2025,01,01,N
1,4,401,1,2620,2530,2025,02,01,Y
1,4,401,1,2680,2560,2025,03,01,Y
1,4,401,1,2640,0,2025,04,01,N
1,4,401,1,2660,2590,2025,05,01,Y
1,4,401,1,2690,2590,2025,06,01,Y
1,4,401,1,2760,2640,2025,07,01,Y
1,4,401,1,2720,2630,2025,08,01,Y
1,4,401,1,2750,2640,2025,09,01,Y
1,4,401,1,2610,2560,2025,10,01,Y
1,4,401,1,2710,2560,2025,11,01,Y
1,4,401,1,2550,2490,2025,12,01,Y
1,4,401,1,2730,2590,2026,01,01,Y
1,4,401,1,2790,2610,2026,02,01,Y
1,4,401,1,2710,2630,2026,03,01,Y
1,4,401,1,2740,2620,2026,04,01,Y
1,4,401,1,2800,2710,2026,05,01,Y
1,4,401,1,2870,2680,2026,06,01,Y
1,4,401,1,2920,2750,2026,07,01,Y
1,4,401,1,2770,2700,2026,08,01,Y
1,4,401,1,2740,2690,2026,09,01,Y
1,4,401,1,2870,2680,2026,10,01,Y
1,4,401,1,2720,2620,2026,11,01,Y
1,4,401,1,2670,2630,2026,12,01,Y
1,4,402,1,2650,2480,2024,01,01,Y
1,4,402,1,2620,2490,2024,02,01,Y
1,4,402,1,2700,2520,2024,03,01,Y
1,4,402,1,2610,2560,2024,04,01,Y
1,4,402,1,2640,2580,2024,05,01,Y
1,4,402,1,2760,2630,2024,06,01,Y
1,4,402,1,2700,2640,2024,07,01,Y
1,4,402,1,2720,2600,2024,08,01,Y
1,4,402,1,2650,2590,2024,09,01,Y
1,4,402,1,2690,2540,2024,10,01,Y
1,4,402,1,2660,2530,2024,11,01,Y
1,4,402,1,2660,2500,2024,12,01,Y
1,4,402,1,2750,2630,2025,01,01,Y
1,4,402,1,2690,2590,2025,02,01,Y
1,4,402,1,2730,0,2025,03,01,N
1,4,402,1,2810,2680,2025,04,01,Y
1,4,402,1,2780,2680,2025,05,01,Y
1,4,402,1,2750,0,2025,06,01,N
1,4,402,1,2860,2740,2025,07,01,Y
1,4,402,1,2840,2700,2025,08,01,Y
1,4,402,1,2880,2710,2025,09,01,Y
1,4,402,1,2870,2720,2025,10,01,Y
1,4,402,1,2720,2620,2025,11,01,Y
1,4,402,1,2750,0,2025,12,01,N
1,4,402,1,2790,2690,2026,01,01,Y
1,4,402,1,2830,2690,2026,02,01,Y
1,4,402,1,2950,2760,2026,03,01,Y
1,4,402,1,2840,2740,2026,04,01,Y
1,4,402,1,3010,2800,2026,05,01,Y
1,4,402,1,2940,2810,2026,06,01,Y
1,4,402,1,3020,2840,2026,07,01,Y
1,4,402,1,2950,2800,2026,08,01,Y
1,4,402,1,2910,2810,2026,09,01,Y
1,4,402,1,2860,2800,2026,10,01,Y
1,4,402,1,2960,2780,2026,11,01,Y
1,4,402,1,2870,0,2026,12,01,N
1,5,501,2,3250,3120,2024,01,01,Y
1,5,501,2,3230,0,2024,02,01,N
1,5,501,2,3210,3130,2024,03,01,Y
1,5,501,2,3340,3180,2024,04,01,Y
1,5,501,2,3290,0,2024,05,01,N
1,5,501,2,3470,3240,2024,06,01,Y
1,5,501,2,3310,3250,2024,07,01,Y
1,5,501,2,3340,3220,2024,08,01,Y
1,5,501,2,3320,3240,2024,09,01,Y
1,5,501,2,3410,3170,2024,10,01,Y
1,5,501,2,3330,0,2024,11,01,N
1,5,501,2,3240,3110,2024,12,01,Y
1,5,501,2,3480,3270,2025,01,01,Y
1,5,501,2,3530,3290,2025,02,01,Y
1,5,501,2,3390,3310,2025,03,01,Y
1,5,501,2,3520,3340,2025,04,01,Y
1,5,501,2,3630,3380,2025,05,01,Y
1,5,501,2,3440,3370,2025,06,01,Y
1,5,501,2,3640,3410,2025,07,01,Y
1,5,501,2,3620,3370,2025,08,01,Y
1,5,501,2,3430,3360,2025,09,01,Y
1,5,501,2,3500,3320,2025,10,01,Y
1,5,501,2,3410,3300,2025,11,01,Y
1,5,501,2,3380,3250,2025,12,01,Y
1,5,501,2,3570,3410,2026,01,01,Y
1,5,501,2,3490,3380,2026,02,01,Y
1,5,501,2,3580,3430,2026,03,01,Y
1,5,501,2,3590,3440,2026,04,01,Y
1,5,501,2,3560,3460,2026,05,01,Y
1,5,501,2,3740,3480,2026,06,01,Y
1,5,501,2,3690,3500,2026,07,01,Y
1,5,501,2,3660,3490,2026,08,01,Y
1,5,501,2,3600,3490,2026,09,01,Y
1,5,501,2,3610,3470,2026,10,01,Y
1,5,501,2,3480,3410,2026,11,01,Y
1,5,501,2,3520,3380,2026,12,01,Y
1,5,502,3,3790,3660,2024,01,01,Y
1,5,502,3,3870,3700,2024,02,01,Y
1,5,502,3,3870,3670,2024,03,01,Y
1,5,502,3,3960,3710,2024,04,01,Y
1,5,502,3,3830,0,2024,05,01,N
1,5,502,3,3940,3760,2024,06,01,Y
1,5,502,3,3950,3770,2024,07,01,Y
1,5,502,3,3840,3760,2024,08,01,Y
1,5,502,3,4050,3780,2024,09,01,Y
1,5,502,3,3950,3740,2024,10,01,Y
1,5,502,3,3840,3690,2024,11,01,Y
1,5,502,3,3800,3700,2024,12,01,Y
1,5,502,3,3900,3830,2025,01,01,Y
1,5,502,3,3930,3870,2025,02,01,Y
1,5,502,3,4040,3890,2025,03,01,Y
1,5,502,3,4080,3860,2025,04,01,Y
1,5,502,3,4020,0,2025,05,01,N
1,5,502,3,4000,0,2025,06,01,N
1,5,502,3,4140,3930,2025,07,01,Y
1,5,502,3,4120,0,2025,08,01,N
1,5,502,3,4040,3970,2025,09,01,Y
1,5,502,3,4000,3900,2025,10,01,Y
1,5,502,3,4040,3850,2025,11,01,Y
1,5,502,3,4120,3860,2025,12,01,Y
1,5,502,3,4010,3950,2026,01,01,Y
1,5,502,3,4080,4010,2026,02,01,Y
1,5,502,3,4190,4000,2026,03,01,Y
1,5,502,3,4220,4010,2026,04,01,Y
1,5,502,3,4150,4070,2026,05,01,Y
1,5,502,3,4210,4070,2026,06,01,Y
1,5,502,3,4330,4050,2026,07,01,Y
1,5,502,3,4410,4120,2026,08,01,Y
1,5,502,3,4190,4070,2026,09,01,Y
1,5,502,3,4310,4050,2026,10,01,Y
1,5,502,3,4270,4040,2026,11,01,Y
1,5,502,3,4090,3960,2026,12,01,Y
1,6,601,2,3320,3130,2024,01,01,Y
1,6,601,2,3320,3130,2024,02,01,Y
1,6,601,2,3200,3110,2024,03,01,Y
1,6,601,2,3320,3170,2024,04,01,Y
1,6,601,2,3410,3180,2024,05,01,Y
1,6,601,2,3330,3180,2024,06,01,Y
1,6,601,2,3310,3210,2024,07,01,Y
1,6,601,2,3330,3260,2024,08,01,Y
1,6,601,2,3410,3180,2024,09,01,Y
1,6,601,2,3400,3170,2024,10,01,Y
1,6,601,2,3330,3110,2024,11,01,Y
1,6,601,2,3330,0,2024,12,01,N
1,6,601,2,3380,3240,2025,01,01,Y
1,6,601,2,3390,3230,2025,02,01,Y
1,6,601,2,3420,3300,2025,03,01,Y
1,6,601,2,3470,3270,2025,04,01,Y
1,6,601,2,3400,3320,2025,05,01,Y
1,6,601,2,3600,3350,2025,06,01,Y
1,6,601,2,3400,3350,2025,07,01,Y
1,6,601,2,3520,3380,2025,08,01,Y
1,6,601,2,3390,3340,2025,09,01,Y
1,6,601,2,3490,3340,2025,10,01,Y
1,6,601,2,3360,3290,2025,11,01,Y
1,6,601,2,3420,3250,2025,12,01,Y
1,6,601,2,3610,3360,2026,01,01,Y
1,6,601,2,3510,3360,2026,02,01,Y
1,6,601,2,3490,3420,2026,03,01,Y
1,6,601,2,3550,3440,2026,04,01,Y
1,6,601,2,3580,3450,2026,05,01,Y
1,6,601,2,3740,3500,2026,06,01,Y
1,6,601,2,3650,3460,2026,07,01,Y
1,6,601,2,3650,3470,2026,08,01,Y
1,6,601,2,3620,3460,2026,09,01,Y
1,6,601,2,3550,3460,2026,10,01,Y
1,6,601,2,3680,3430,2026,11,01,Y
1,6,601,2,3580,3350,2026,12,01,Y
1,6,602,2,3250,3080,2024,01,01,Y
1,6,602,2,3280,3100,2024,02,01,Y
1,6,602,2,3390,0,2024,03,01,N
1,6,602,2,3380,3150,2024,04,01,Y
1,6,602,2,3340,3160,2024,05,01,Y
1,6,602,2,3400,3240,2024,06,01,Y
1,6,602,2,3300,3230,2024,07,01,Y
1,6,602,2,3440,3260,2024,08,01,Y
1,6,602,2,3300,3240,2024,09,01,Y
1,6,602,2,3350,0,2024,10,01,N
1,6,602,2,3250,3190,2024,11,01,Y
1,6,602,2,3230,3100,2024,12,01,Y
1,6,602,2,3410,0,2025,01,01,N
1,6,602,2,3470,0,2025,02,01,N
1,6,602,2,3440,3260,2025,03,01,Y
1,6,602,2,3510,3280,2025,04,01,Y
1,6,602,2,3540,0,2025,05,01,N
1,6,602,2,3440,3330,2025,06,01,Y
1,6,602,2,3500,3400,2025,07,01,Y
1,6,602,2,3590,3410,2025,08,01,Y
1,6,602,2,3580,3370,2025,09,01,Y
1,6,602,2,3480,3350,2025,10,01,Y
1,6,602,2,3560,3320,2025,11,01,Y
1,6,602,2,3390,3280,2025,12,01,Y
1,6,602,2,3530,3340,2026,01,01,Y
1,6,602,2,3440,3350,2026,02,01,Y
1,6,602,2,3530,3440,2026,03,01,Y
1,6,602,2,3570,0,2026,04,01,N
1,6,602,2,3550,3430,2026,05,01,Y
1,6,602,2,3730,3500,2026,06,01,Y
1,6,602,2,3700,3490,2026,07,01,Y
1,6,602,2,3710,3530,2026,08,01,Y
1,6,602,2,3580,0,2026,09,01,N
1,6,602,2,3550,3470,2026,10,01,Y
1,6,602,2,3690,3440,2026,11,01,Y
1,6,602,2,3530,3410,2026,12,01,Y
1,7,701,0,2280,0,2024,01,01,N
1,7,701,0,2310,2190,2024,02,01,Y
1,7,701,0,2260,2160,2024,03,01,Y
1,7,701,0,2300,2190,2024,04,01,Y
1,7,701,0,2430,2260,2024,05,01,Y
1,7,701,0,2420,2300,2024,06,01,Y
1,7,701,0,2330,2280,2024,07,01,Y
1,7,701,0,2360,2260,2024,08,01,Y
1,7,701,0,2310,2250,2024,09,01,Y
1,7,701,0,2300,2210,2024,10,01,Y
1,7,701,0,2360,2200,2024,11,01,Y
1,7,701,0,2280,2200,2024,12,01,Y
1,7,701,0,2430,2270,2025,01,01,Y
1,7,701,0,2410,2260,2025,02,01,Y
1,7,701,0,2370,2320,2025,03,01,Y
1,7,701,0,2420,2310,2025,04,01,Y
1,7,701,0,2410,2330,2025,05,01,Y
1,7,701,0,2430,2350,2025,06,01,Y
1,7,701,0,2460,2390,2025,07,01,Y
1,7,701,0,2470,2380,2025,08,01,Y
1,7,701,0,2490,2410,2025,09,01,Y
1,7,701,0,2510,2370,2025,10,01,Y
1,7,701,0,2380,2300,2025,11,01,Y
1,7,701,0,2350,2270,2025,12,01,Y
1,7,701,0,2500,2380,2026,01,01,Y
1,7,701,0,2460,2370,2026,02,01,Y
1,7,701,0,2490,2400,2026,03,01,Y
1,7,701,0,2540,2390,2026,04,01,Y
1,7,701,0,2570,2450,2026,05,01,Y
1,7,701,0,2600,2440,2026,06,01,Y
1,7,701,0,2500,2430,2026,07,01,Y
1,7,701,0,2630,2500,2026,08,01,Y
1,7,701,0,2560,2440,2026,09,01,Y
1,7,701,0,2510,2460,2026,10,01,Y
1,7,701,0,2480,2380,2026,11,01,Y
1,7,701,0,2450,2370,2026,12,01,Y
1,7,702,2,3200,3030,2024,01,01,Y
1,7,702,2,3240,3060,2024,02,01,Y
1,7,702,2,3250,3110,2024,03,01,Y
1,7,702,2,3150,3080,2024,04,01,Y
1,7,702,2,3310,3160,2024,05,01,Y
1,7,702,2,3290,3170,2024,06,01,Y
1,7,702,2,3280,3160,2024,07,01,Y
1,7,702,2,3270,3160,2024,08,01,Y
1,7,702,2,3240,3180,2024,09,01,Y
1,7,702,2,3370,3150,2024,10,01,Y
1,7,702,2,3190,3130,2024,11,01,Y
1,7,702,2,3250,3070,2024,12,01,Y
1,7,702,2,3340,3170,2025,01,01,Y
1,7,702,2,3250,3180,2025,02,01,Y
1,7,702,2,3470,3260,2025,03,01,Y
1,7,702,2,3420,3240,2025,04,01,Y
1,7,702,2,3520,3310,2025,05,01,Y
1,7,702,2,3450,3280,2025,06,01,Y
1,7,702,2,3450,3300,2025,07,01,Y
1,7,702,2,3530,3310,2025,08,01,Y
1,7,702,2,3390,3290,2025,09,01,Y
1,7,702,2,3480,3280,2025,10,01,Y
1,7,702,2,3490,3270,2025,11,01,Y
1,7,702,2,3270,3210,2025,12,01,Y
1,7,702,2,3520,3320,2026,01,01,Y
1,7,702,2,3360,3310,2026,02,01,Y
1,7,702,2,3470,3350,2026,03,01,Y
1,7,702,2,3600,3370,2026,04,01,Y
1,7,702,2,3560,3400,2026,05,01,Y
1,7,702,2,3610,3460,2026,06,01,Y
1,7,702,2,3620,3460,2026,07,01,Y
1,7,702,2,3510,0,2026,08,01,N
1,7,702,2,3540,3470,2026,09,01,Y
1,7,702,2,3480,3390,2026,10,01,Y
1,7,702,2,3430,3340,2026,11,01,Y
1,7,702,2,3500,3360,2026,12,01,Y
1,8,801,1,2530,2460,2024,01,01,Y
1,8,801,1,2620,2470,2024,02,01,Y
1,8,801,1,2550,2500,2024,03,01,Y
1,8,801,1,2660,2520,2024,04,01,Y
1,8,801,1,2660,2500,2024,05,01,Y
1,8,801,1,2610,2530,2024,06,01,Y
1,8,801,1,2750,2580,2024,07,01,Y
1,8,801,1,2710,2580,2024,08,01,Y
1,8,801,1,2680,2580,2024,09,01,Y
1,8,801,1,2670,2560,2024,10,01,Y
1,8,801,1,2580,2520,2024,11,01,Y
1,8,801,1,2610,2440,2024,12,01,Y
1,8,801,1,2720,2570,2025,01,01,Y
1,8,801,1,2740,2560,2025,02,01,Y
1,8,801,1,2720,2620,2025,03,01,Y
1,8,801,1,2710,2650,2025,04,01,Y
1,8,801,1,2790,2640,2025,05,01,Y
1,8,801,1,2790,2700,2025,06,01,Y
1,8,801,1,2780,2700,2025,07,01,Y
1,8,801,1,2850,2680,2025,08,01,Y
1,8,801,1,2850,2670,2025,09,01,Y
1,8,801,1,2720,2650,2025,10,01,Y
1,8,801,1,2760,2600,2025,11,01,Y
1,8,801,1,2650,2600,2025,12,01,Y
1,8,801,1,2860,2680,2026,01,01,Y
1,8,801,1,2770,2690,2026,02,01,Y
1,8,801,1,2740,2690,2026,03,01,Y
1,8,801,1,2820,2720,2026,04,01,Y
1,8,801,1,2890,2770,2026,05,01,Y
1,8,801,1,2860,2800,2026,06,01,Y
1,8,801,1,2850,2790,2026,07,01,Y
1,8,801,1,2980,2830,2026,08,01,Y
1,8,801,1,2880,2770,2026,09,01,Y
1,8,801,1,2820,2740,2026,10,01,Y
1,8,801,1,2870,2750,2026,11,01,Y
1,8,801,1,2730,2660,2026,12,01,Y
1,8,802,1,2800,2630,2024,01,01,Y
1,8,802,1,2740,2700,2024,02,01,Y
1,8,802,1,2740,2670,2024,03,01,Y
1,8,802,1,2850,2740,2024,04,01,Y
1,8,802,1,2920,2750,2024,05,01,Y
1,8,802,1,2820,2760,2024,06,01,Y
1,8,802,1,2930,2760,2024,07,01,Y
1,8,802,1,2790,2750,2024,08,01,Y
1,8,802,1,2880,2760,2024,09,01,Y
1,8,802,1,2900,0,2024,10,01,N
1,8,802,1,2940,2740,2024,11,01,Y
1,8,802,1,2810,2640,2024,12,01,Y
1,8,802,1,2800,2750,2025,01,01,Y
1,8,802,1,2860,2760,2025,02,01,Y
1,8,802,1,3000,2810,2025,03,01,Y
1,8,802,1,3060,2870,2025,04,01,Y
1,8,802,1,2940,2830,2025,05,01,Y
1,8,802,1,2980,2900,2025,06,01,Y
1,8,802,1,2980,2890,2025,07,01,Y
1,8,802,1,3100,2910,2025,08,01,Y
1,8,802,1,3120,2910,2025,09,01,Y
1,8,802,1,3090,2890,2025,10,01,Y
1,8,802,1,3000,2860,2025,11,01,Y
1,8,802,1,3010,2820,2025,12,01,Y
1,8,802,1,3060,2900,2026,01,01,Y
1,8,802,1,2940,2870,2026,02,01,Y
1,8,802,1,3060,2930,2026,03,01,Y
1,8,802,1,3070,2950,2026,04,01,Y
1,8,802,1,3130,3000,2026,05,01,Y
1,8,802,1,3170,3020,2026,06,01,Y
1,8,802,1,3250,3020,2026,07,01,Y
1,8,802,1,3130,3030,2026,08,01,Y
1,8,802,1,3170,3030,2026,09,01,Y
1,8,802,1,3160,3000,2026,10,01,Y
1,8,802,1,3100,2900,2026,11,01,Y
1,8,802,1,3030,2890,2026,12,01,Y
1,9,901,1,2620,2480,2024,01,01,Y
1,9,901,1,2510,2470,2024,02,01,Y
1,9,901,1,2680,2520,2024,03,01,Y
1,9,901,1,2650,2560,2024,04,01,Y
1,9,901,1,2630,2590,2024,05,01,Y
